Country,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Region
Kenya,2011,4.405310153961182,7.8465752601623535,0.8463075757026672,56.060001373291016,0.7086591720581055,0.036738768219947815,0.9226641654968262,Sub-Saharan Africa
Kenya,2012,4.547335147857666,7.864265441894531,0.8314101099967957,56.619998931884766,0.6276541948318481,0.08063886314630508,0.9112730622291565,Sub-Saharan Africa
Kenya,2013,3.7953832149505615,7.894708156585693,0.8248060345649719,57.18000030517578,0.7083322405815125,0.22722679376602173,0.8610033988952637,Sub-Saharan Africa
Kenya,2014,4.9045796394348145,7.9205322265625,0.7654364109039307,57.7400016784668,0.819018542766571,0.18705540895462036,0.8491942286491394,Sub-Saharan Africa
Kenya,2015,4.3576178550720215,7.950148582458496,0.7769230604171753,58.29999923706055,0.7929903268814087,0.23545993864536285,0.8525498509407043,Sub-Saharan Africa
Kenya,2016,4.396127700805664,7.981573581695557,0.7059215903282166,58.900001525878906,0.7485082745552063,0.31314322352409363,0.8284115791320801,Sub-Saharan Africa
Kenya,2017,4.475654125213623,8.004040718078613,0.7146043181419373,59.5,0.8533943891525269,0.24923355877399445,0.8540003895759583,Sub-Saharan Africa
Kenya,2018,4.655702590942383,8.03267765045166,0.7067198753356934,60.099998474121094,0.821412980556488,0.30665308237075806,0.8442440629005432,Sub-Saharan Africa
Kosovo,2007,5.103906154632568,8.907893180847168,0.8478116989135742,62.400516510009766,0.3813638389110565,0.13581927120685577,0.8944622278213501,Central and Eastern Europe
Kosovo,2008,5.521659851074219,8.925965309143066,0.8838426470756531,62.58087158203125,,0.08482793718576431,0.8490591645240784,Central and Eastern Europe
Kosovo,2009,5.891432762145996,8.950803756713867,0.8304265141487122,62.807411193847656,0.506415069103241,0.19496582448482513,0.9678385853767395,Central and Eastern Europe
Kosovo,2010,5.176601409912109,8.97533130645752,0.7079588770866394,63.03395462036133,0.45144379138946533,0.16408225893974304,0.9672717452049255,Central and Eastern Europe
Kosovo,2011,4.859501838684082,9.013744354248047,0.7591015696525574,63.25830078125,0.5889787673950195,-0.002331663854420185,0.9192119836807251,Central and Eastern Europe
Kosovo,2012,5.639588356018066,9.03438949584961,0.7571471333503723,63.572818756103516,0.6357933878898621,0.020952614024281502,0.9496514201164246,Central and Eastern Europe
Kosovo,2013,6.125758171081543,9.057710647583008,0.7207503914833069,63.843353271484375,0.568463146686554,0.10891883075237274,0.9350945949554443,Central and Eastern Europe
Kosovo,2014,5.000375270843506,9.070881843566895,0.7056323289871216,64.11388397216797,0.4413912296295166,0.00620622793212533,0.775200605392456,Central and Eastern Europe
Kosovo,2015,5.077460765838623,9.122049331665039,0.805270791053772,64.33822631835938,0.5610482692718506,0.1749909520149231,0.8506470918655396,Central and Eastern Europe
Kosovo,2016,5.7594122886657715,9.153971672058105,0.8238027095794678,64.60875701904297,0.8273985981941223,0.11990544199943542,0.9408979415893555,Central and Eastern Europe
Kosovo,2017,6.149199962615967,9.189712524414062,0.7920872569084167,64.8792953491211,0.8576767444610596,0.11196660995483398,0.9251918196678162,Central and Eastern Europe
Kosovo,2018,6.3918256759643555,,0.822406530380249,65.14982604980469,0.8897370100021362,,0.9220781922340393,Central and Eastern Europe
Kyrgyzstan,2007,4.697761535644531,7.862961292266846,0.8330978751182556,60.2599983215332,0.6835231184959412,-0.06941156834363937,0.9290547966957092,Central and Eastern Europe
Kyrgyzstan,2008,4.736588001251221,7.934132099151611,0.7921326160430908,60.540000915527344,0.7190293669700623,-0.07805290073156357,0.9226270318031311,Central and Eastern Europe
Kyrgyzstan,2009,5.069053649902344,7.9505133628845215,0.8549356460571289,60.81999969482422,0.698919951915741,-0.11820093542337418,0.8962274789810181,Central and Eastern Europe
Kyrgyzstan,2010,4.996410846710205,7.9338579177856445,0.8853629231452942,61.099998474121094,0.7200511693954468,-0.04993533343076706,0.9257935881614685,Central and Eastern Europe
